LAT,LONG,NAME,COUNTRY_CODE,COUNTRY,DEM_STD,COLD,WARM,GDP,POPULATION,DEM_MEAN
-25.38700191,-57.14000047,Caacupe,PRY,Paraguay,79.08577136,11.87599945,31.62400055,64670,21696,114.6702823
11.84599813,-86.19499748,Jinotepe,NIC,Nicaragua,271.732539,18.36000061,28.86000061,33550,29507,173.1809603
13.09100402,-86.00000362,Jinotega,NIC,Nicaragua,362.0350775,14.83600044,25.89999962,33550,51073,372.0531138
11.96900098,-86.09499852,Masaya,NIC,Nicaragua,280.8538427,20.86400032,31.39999962,33550,130113,191.8153514
29.99999706,40.13330454,Sakakah,SAU,Saudi Arabia,110.9621912,2,39.99200058,1731000,128332,717.4932801
43.23300312,44.78300151,Nazran,RUS,Russia,979.9329367,-8.06400013,26.28800011,3745000,93357,983.1796343
11.74899608,11.96600457,Damaturu,NGA,Nigeria,92.17540316,13.76799965,37.40000153,1089000,255895,373.9950106
-1.483002014,-77.98699756,Puyo,ECU,Ecuador,1312.874329,15.03600025,26.45199966,182400,24881,1378.260744
9.991997986,-84.12000251,Heredia,CRI,Costa Rica,543.2075546,15.22799969,27.29599953,79260,21947,271.6263023
0.821997038,-77.73200048,Tulcan,ECU,Ecuador,1200.018345,4.980000019,16.99600029,182400,83000,1240.358953
5.346999095,-72.4059986,Yopal,COL,Colombia,1143.539864,19.58799934,31.52000046,688000,61029,1045.853984
49.98247246,8.273219156,Mainz,DEU,Germany,122.5669575,-3.184000015,22.27600098,3979000,184997,294.2160641
50.66299816,14.08100455,Usti Nad Labem,CZE,Czech Republic,192.4438569,-6.492000103,21.54000092,350900,94105,340.9814708
50.20599617,15.81200153,Hradec Kralove,CZE,Czech Republic,183.1038752,-7.019999981,21.80800056,350900,95195,400.6068572
36.86670013,43.00000263,Dahuk,IRQ,Iraq,817.4471978,-2.243999958,37.42000198,596700,986000,970.1745682
34.19399705,43.87500062,Samarra,IRQ,Iraq,126.4995276,2.404000044,41.62800217,596700,158508,142.8724626
7.059996077,38.47699862,Awasa,ETH,Ethiopia,568.5874096,10.6239996,27.57600021,174700,133097,1976.269882
53.63330408,11.41669861,Schwerin,DEU,Germany,27.62286319,-3.823999882,19.97200012,3979000,96641,35.72637832
30.65900412,51.59400361,Yasuj,IRN,Iran,855.5747833,-6.539999962,33.34000015,1459000,96786,1669.251337
32.32099805,50.85399659,Shar e Kord,IRN,Iran,663.1599638,-10.98400021,31.49200058,1459000,129153,1956.090992
43.69045506,51.14173561,Mangyshlak,KAZ,Kazakhstan,90.047119,-6.087999821,28.80400085,460700,147443,26.61526684
15.491997,73.81800065,Panaji,IND,India,293.0215887,21.47058868,32.55882263,8721000,65586,238.5036087
-24.377004,26.15200256,Mochudi,BWA,Botswana,152.1488385,4.963999748,35.27999878,35900,39700,1095.552926
12.56213711,-81.69032658,San Andres,COL,Colombia,0.118604704,24.125,30,-9999,58257,0.000808327
24.9575,121.2988889,Bade,TWN,Taiwan,547.5784507,10.95199966,31.25200081,1127000,172065,193.574862
24.94388889,121.2161111,Pingzhen,TWN,Taiwan,552.7164717,11.00399971,31.70400047,1127000,201632,197.2381069
23.45,120.3333333,Taibao,TWN,Taiwan,608.7380889,13.55599976,32.45999908,1127000,35000,253.2283447
24.98888889,121.3111111,Taoyuan,TWN,Taiwan,541.7822338,11.45199966,31.83600044,1127000,500000,189.1041818
24.91666667,121.15,Yangmei,TWN,Taiwan,559.1812601,9.812000275,30.0359993,1127000,175000,202.1906702
24.75,121.75,Yilan,TWN,Taiwan,560.5553706,12.48799992,31.5359993,1127000,150000,201.8730188
24.83333333,121.0119444,Zhubei,TWN,Taiwan,572.9643858,11.69200039,32.04000092,1127000,200000,214.1646616
-30.41598712,-56.48602014,Artigas,URY,Uruguay,67.49923345,6.679999828,30.83199883,73250,41909,118.0993164
-31.70996499,-55.98000452,Tacuarembo,URY,Uruguay,60.70345375,5.532000065,30.56800079,73250,54277,140.8245731
-33.23002724,-54.38002466,Treinta y Tres,URY,Uruguay,77.5979584,5.055999756,28.33600044,73250,27684,89.19725522
-34.37000934,-55.23002446,Minas,URY,Uruguay,75.64086015,4.796000004,27.24799919,73250,41180,66.10758258
-34.91002806,-54.95998926,Maldonado,URY,Uruguay,68.52396441,6.875,25.68333244,73250,55478,39.79696704
44.29048647,-93.26801274,Faribault,USA,United States of America,44.30630205,-17.55200005,26.7840004,18560000,25376,328.811998
44.16362083,-93.99915674,Mankato,USA,United States of America,50.4904496,-17.13999939,27.10400009,18560000,56325,347.0586998
46.21137697,-119.1360979,Kennewick,USA,United States of America,373.6117494,-6.447999954,27.94400024,18560000,102504,603.5934533
33.58194114,-112.1958238,Glendale,USA,United States of America,532.9620442,3.072000027,41.42000198,18560000,500000,874.9505406
32.87937421,-111.7566258,Casa Grande,USA,United States of America,420.3101175,0.851999998,41.99599838,18560000,44655,805.5080254
33.42391461,-111.7360844,Mesa,USA,United States of America,542.1416811,2.639999866,40.55599976,18560000,1085394,965.1295714
34.49829348,-114.3082789,Lake Havasu City,USA,United States of America,459.1795803,3.772000074,41.75999832,18560000,56133,773.8002637
37.87390139,-122.271152,Berkeley,USA,United States of America,206.5859506,2.947999954,24.78000069,18560000,496356,127.2218863
32.67194501,-117.0980052,National City,USA,United States of America,470.8971742,8.284000397,28.95599937,18560000,150000,301.2512063
35.6265967,-120.6899823,Paso Robles,USA,United States of America,315.7435449,-0.952000022,30.55599976,18560000,27157,229.7217721
33.94194501,-117.3980386,Riverside,USA,United States of America,520.4731737,4.43599987,33.24399948,18560000,297554,570.1372379
35.76193728,-119.2430681,Delano,USA,United States of America,813.3210901,-0.723999977,35.11999893,18560000,44757,828.1611921
37.55691815,-122.3130616,San Mateo,USA,United States of America,205.3995837,3.047826052,23.71304321,18560000,626406,111.9518116
38.11194887,-122.258052,Vallejo,USA,United States of America,242.2144787,1.527999997,27.30400085,18560000,146289,158.0857392
39.69585736,-104.808497,Aurora,USA,United States of America,660.9382079,-8.512000084,29.83199883,18560000,587540,2082.551942
40.41919822,-104.739974,Greeley,USA,United States of America,590.171408,-11.11600018,30.47599983,18560000,125410,1956.170441
36.75415061,-108.1860944,Farmington,USA,United States of America,504.1929625,-10.80799961,31.25600052,18560000,43278,2165.390452
44.05194806,-122.9780339,Springfield,USA,United States of America,558.9394075,-2.400000095,24.41600037,18560000,56032,610.9633313
36.05708722,-90.50288436,Paragould,USA,United States of America,73.33247595,-4.248000145,33.11199951,18560000,23450,128.2906346
41.66108624,-91.52997929,Iowa City,USA,United States of America,43.7759625,-12.61600018,29.08399963,18560000,98516,247.3657464
41.01288291,-92.414809,Ottumwa,USA,United States of America,45.03764446,-11.60800076,29.66399956,18560000,25982,253.9437838
